pedestrian_id,vehicle_id,frame_number,timestamp,pedestrian_x,pedestrian_y,vehicle_x,vehicle_y,vehicle_type,vehicle_speed,crossing_start_time,crossing_end_time,waiting_time,PET,TTC,gap_acceptance
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,392,15.68,682.47,934.28,1000.6,1013.9,motorcycle,1.1627,10.48,17.84,0.8,0.08,6.3462,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,393,15.72,679.84,935.2,998.85,1012.8,motorcycle,1.1627,10.48,17.84,0.8,0.08,6.3534,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,394,15.76,673.63,934.68,997.1,1011.7,motorcycle,1.1651,10.48,17.84,0.8,0.08,6.4214,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,395,15.8,669.0,935.8,995.35,1010.6,motorcycle,1.1627,10.48,17.84,0.8,0.08,6.4792,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,396,15.84,664.32,937.9,993.6,1009.5,motorcycle,1.1627,10.48,17.84,0.8,0.08,6.521,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,397,15.88,661.04,936.11,991.85,1008.4,motorcycle,1.1603,10.48,17.84,0.8,0.08,6.5661,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,398,15.92,656.63,936.9,990.1,1007.3,motorcycle,1.1627,10.48,17.84,0.8,0.08,6.5954,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,399,15.96,652.43,939.5,988.35,1006.2,motorcycle,1.1651,10.48,17.84,0.8,0.08,6.6139,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,400,16.0,648.13,937.8,986.6,1005.1,motorcycle,1.1627,10.48,17.84,0.8,0.08,6.678,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,401,16.04,644.41,936.8,984.85,1004.0,motorcycle,1.1627,10.48,17.84,0.8,0.08,6.7151,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,402,16.08,639.0,941.1,983.8,1002.7,motorcycle,0.94,10.48,17.84,0.8,0.08,8.3839,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,403,16.12,633.09,937.77,982.75,1001.4,motorcycle,0.94,10.48,17.84,0.8,0.08,8.507,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,404,16.16,626.31,937.54,981.7,1000.1,motorcycle,0.9382,10.48,17.84,0.8,0.08,8.654,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,405,16.2,619.99,938.57,980.65,998.8,motorcycle,0.94,10.48,17.84,0.8,0.08,8.7525,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,406,16.24,613.67,939.6,979.18,997.5,motorcycle,1.1017,10.48,17.84,0.8,0.08,7.5577,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,407,16.28,607.36,937.3,977.72,996.2,motorcycle,1.1038,10.48,17.84,0.8,0.08,7.644,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,408,16.32,604.35,939.4,976.25,994.9,motorcycle,1.1017,10.48,17.84,0.8,0.08,7.6792,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,409,16.36,596.93,939.1,974.79,993.6,motorcycle,1.1017,10.48,17.84,0.8,0.08,7.7966,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,410,16.4,589.52,942.5,973.32,992.3,motorcycle,1.1038,10.48,17.84,0.8,0.08,7.8887,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,411,16.44,582.3,943.0,971.85,991.0,motorcycle,1.1017,10.48,17.84,0.8,0.08,8.0157,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,412,16.48,575.8,946.9,970.3,989.8,motorcycle,1.1026,10.48,17.84,0.8,0.08,8.0975,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,413,16.52,569.34,947.6,968.75,988.6,motorcycle,1.1026,10.48,17.84,0.8,0.08,8.1932,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,414,16.56,562.04,947.88,967.2,987.4,motorcycle,1.1026,10.48,17.84,0.8,0.08,8.3067,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,415,16.6,554.75,948.15,965.65,986.2,motorcycle,1.1026,10.48,17.84,0.8,0.08,8.4205,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,416,16.64,546.09,948.98,964.1,985.0,motorcycle,1.1026,10.48,17.84,0.8,0.08,8.5615,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,417,16.68,537.42,949.8,962.56,983.8,motorcycle,1.1004,10.48,17.84,0.8,0.08,8.7205,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,418,16.72,528.75,950.62,961.0,982.6,motorcycle,1.1026,10.48,17.84,0.8,0.08,8.8446,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,419,16.76,520.09,951.45,959.46,981.4,motorcycle,1.1026,10.48,17.84,0.8,0.08,8.9865,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,420,16.8,511.42,952.27,957.9,980.2,motorcycle,1.1026,10.48,17.84,0.8,0.08,9.1287,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,421,16.84,502.75,953.1,956.36,979.0,motorcycle,1.1026,10.48,17.84,0.8,0.08,9.2712,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,422,16.88,490.53,955.73,954.81,977.93,motorcycle,1.0594,10.48,17.84,0.8,0.08,9.8712,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,423,16.92,478.32,958.37,953.25,976.87,motorcycle,1.0563,10.48,17.84,0.8,0.08,10.1246,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,424,16.96,466.11,961.0,951.71,975.8,motorcycle,1.0594,10.48,17.84,0.8,0.08,10.3178,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,425,17.0,453.89,963.63,950.16,974.73,motorcycle,1.0571,10.48,17.84,0.8,0.08,10.5652,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,426,17.04,441.68,966.27,948.61,973.67,motorcycle,1.0563,10.48,17.84,0.8,0.08,10.7996,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,427,17.08,429.46,968.9,947.06,972.6,motorcycle,1.0594,10.48,17.84,0.8,0.08,10.9927,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,428,17.12,417.25,970.1,945.51,973.2,motorcycle,0.9349,10.48,17.84,0.8,0.08,12.7135,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,429,17.16,403.6,971.1,943.96,973.8,motorcycle,0.9349,10.48,17.84,0.8,0.08,13.0046,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,430,17.2,387.85,969.95,942.41,974.4,motorcycle,0.9349,10.48,17.84,0.8,0.08,13.3466,0.0
gp_set_0001_vid_0001_ped_16,gp_set_0001_vid_0001_veh_3,431,17.24,372.1,968.8,940.86,975.0,motorcycle,0.9349,10.48,17.84,0.8,0.08,13.6887,0.0
